id,grade_level,sex,race,gpa,econ_dis,disability,dis_cat,lang,iss_off,iss_days,subj_off,days_absent
1,10th Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,2
2,5th Grade,Male,Hispanic,3,No,No,Not Applicable,English,0,0,0,0
3,9th Grade,Female,Hispanic,2.33,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,2
4,9th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,0
5,6th Grade,Male,White,2.67,No,Yes,Specific Learning Disability,English,0,0,0,4
6,4th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,3
7,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,3
8,8th Grade,Female,Hispanic,3,No,No,Not Applicable,Spanish,0,0,0,0
9,4th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
10,1st Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,0
11,7th Grade,Female,Black,2.67,Yes,No,Not Applicable,English,0,0,0,1
12,9th Grade,Female,Black,2.33,Yes,No,Not Applicable,English,0,0,0,1
13,9th Grade,Female,Asian,3,No,No,Not Applicable,Chinese,2,2,3,9
14,4th Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,English,2,2,1,7
15,5th Grade,Female,Hispanic,3,No,No,Not Applicable,English,4,3,1,14
16,8th Grade,Male,Black,2,Yes,No,Not Applicable,English,0,0,0,0
17,7th Grade,Female,White,3.67,Yes,No,Not Applicable,Spanish,0,0,0,3
18,3rd Grade,Male,Black,3.33,No,No,Not Applicable,English,0,0,0,1
19,10th Grade,Female,Hispanic,2,Yes,No,Not Applicable,English,3,3,10,14
20,1st Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,2
21,11th Grade,Male,White,4,No,No,Not Applicable,English,0,0,0,3
22,10th Grade,Male,Hispanic,3.33,Yes,No,Not Applicable,Spanish,2,2,4,11
23,4th Grade,Female,White,2.67,No,No,Not Applicable,Spanish,0,0,0,3
24,6th Grade,Female,White,2.67,Yes,No,Not Applicable,Other,0,0,0,0
25,1st Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,4
26,9th Grade,Male,White,3,No,No,Not Applicable,English,,,,11
27,2nd Grade,Female,White,2.67,No,No,Not Applicable,Chinese,0,0,0,0
28,1st Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,0
29,9th Grade,Female,White,3.67,Yes,No,Not Applicable,Other,0,0,0,1
30,5th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,1,2
31,5th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,5
32,12th Grade,Female,Asian,3.67,Yes,No,Not Applicable,English,0,0,0,4
33,12th Grade,Male,White,2,No,Yes,Speech/Language Impairments,English,0,0,0,3
34,9th Grade,Male,Multi-racial,3,Yes,No,Not Applicable,English,0,0,0,1
35,7th Grade,Female,White,2.67,Yes,No,Not Applicable,English,,,,7
36,1st Grade,Male,White,4,Yes,No,Not Applicable,English,0,0,0,1
37,12th Grade,Male,Hispanic,3.33,No,No,Not Applicable,English,0,0,0,5
38,Pre-K,Male,White,3.67,No,No,Not Applicable,English,0,0,0,0
39,3rd Grade,Male,White,3,No,No,Not Applicable,Spanish,0,0,0,0
40,Pre-K,Female,Black,3,No,No,Not Applicable,English,0,0,0,1
41,6th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,4
42,1st Grade,Male,Hispanic,3,No,No,Not Applicable,English,0,0,0,0
43,10th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,1
44,7th Grade,Male,White,2,Yes,No,Not Applicable,English,0,0,0,0
45,1st Grade,Male,,3,No,No,Not Applicable,English,0,0,0,0
46,10th Grade,Male,Black,3.33,No,No,Not Applicable,English,0,0,2,3
47,5th Grade,Male,Black,4,Yes,Yes,Speech/Language Impairments,Other,0,0,0,2
48,6th Grade,Male,Hispanic,3,Yes,No,Not Applicable,English,0,0,0,2
49,12th Grade,Male,White,2.33,Yes,No,Not Applicable,Other,,,,35
50,2nd Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
51,8th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,1
52,8th Grade,Female,Black,2,No,No,Not Applicable,English,0,0,0,1
53,4th Grade,Male,White,2,Yes,No,Not Applicable,English,0,0,0,2
54,1st Grade,Female,White,3,No,No,Not Applicable,Other,0,0,0,3
55,3rd Grade,Female,White,1.67,No,Yes,Speech/Language Impairments,English,0,0,0,3
56,1st Grade,Male,Hispanic,3.33,No,No,Not Applicable,Spanish,0,0,0,0
57,7th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,0
58,6th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,0
59,Kindergarten,Male,White,3.33,Yes,No,Not Applicable,Spanish,0,0,0,3
60,Pre-K,Female,White,2.67,No,Yes,Specific Learning Disability,Chinese,0,0,0,1
61,Pre-K,Female,White,3.33,No,Yes,Specific Learning Disability,English,,,,18
62,8th Grade,,Black,3.33,No,No,Not Applicable,Other,0,0,0,2
63,1st Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,2,1
64,1st Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,1
65,9th Grade,Male,Hispanic,3.67,Yes,Yes,Other,English,0,0,0,0
66,Kindergarten,Female,Black,2.33,Yes,No,Not Applicable,English,0,0,0,2
67,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,4
68,2nd Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,2
69,5th Grade,Female,Hispanic,3,No,No,Not Applicable,Spanish,0,0,0,1
70,2nd Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,2
71,Pre-K,Male,White,3,No,No,Not Applicable,English,0,0,0,0
72,5th Grade,Male,Black,2,Yes,No,Not Applicable,English,0,0,0,4
73,2nd Grade,Female,White,2.33,No,Yes,Autism,English,0,0,0,0
74,8th Grade,Female,Native,2.33,Yes,No,Not Applicable,English,0,0,0,1
75,9th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,2
76,9th Grade,,White,3.33,No,No,Not Applicable,English,0,0,0,2
77,3rd Grade,Female,White,3.33,Yes,No,Not Applicable,Other,0,0,0,1
78,Kindergarten,Male,White,3,No,No,Not Applicable,English,0,0,0,1
79,3rd Grade,Female,White,2.67,Yes,No,Not Applicable,Spanish,0,0,0,3
80,10th Grade,Female,White,2,Yes,Yes,Specific Learning Disability,English,0,0,2,1
81,5th Grade,Female,Hispanic,2,Yes,No,Not Applicable,English,0,0,0,2
82,6th Grade,Female,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,3
83,9th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,3
84,Kindergarten,Male,Black,3.33,No,Yes,Specific Learning Disability,English,,,,6
85,4th Grade,Male,Asian,3.33,No,Yes,Specific Learning Disability,English,0,0,0,4
86,10th Grade,Male,White,2.67,No,No,Not Applicable,English,3,3,2,14
87,10th Grade,,White,3.33,Yes,No,Not Applicable,English,0,0,0,2
88,11th Grade,Female,White,2,Yes,No,Not Applicable,Spanish,0,0,0,4
89,9th Grade,Female,White,2.33,Yes,No,Not Applicable,English,0,0,1,2
90,Pre-K,Female,White,3,No,No,Not Applicable,English,0,0,0,0
91,11th Grade,Female,White,2.67,No,No,Not Applicable,English,,,,45
92,6th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,3
93,1st Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,4
94,4th Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,0,1
95,12th Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,Spanish,0,0,0,5
96,Kindergarten,Female,Hispanic,3,No,No,Not Applicable,English,,,,12
97,5th Grade,Female,Asian,3.67,Yes,No,Not Applicable,English,0,0,1,1
98,Kindergarten,Male,White,3,Yes,No,Not Applicable,English,8,5,1,6
99,8th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,3
100,10th Grade,Male,White,2.33,Yes,Yes,Specific Learning Disability,English,0,0,0,1
101,7th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
102,5th Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,3
103,5th Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,3
